name
almond
apples
apricots
areca_nuts
artichokes
asparagus
avocados
bambara_beans__dry
banana
barley
bean
beans__green
blueberries
broad_beans_and_horse_beans__green
broad_beans
buckwheat
cabbages
canary_seed
carrots_and_turnips
cashew_nuts
cashewapple
cassava_leaves
cassava
castor_oil_seed
cauliflowers_and_broccoli
cereal
cherries
chestnut
chickpeas
chicory_roots
chillies_and_peppers__green__capsicum_spp__and_pimenta_spp
chillies_and_peppers
citrus_fruit
cocoa
coconuts
coffee
cow_peas
cranberries
cucumbers_and_gherkins
currants
dates
eggplants
fibre_crops__fibre_equivalent
fibre_crops
figs
flax__raw_or_retted
fonio
fruit
garlic
gooseberries
grapefruit
grapes
green_maize
groundnut
hazelnuts
hempseed
herbs__e_g__fennel
hop_cones
jojoba_seeds
jute
kapok_fruit
karite_nuts
kenaf__and_other_textile_bast_fibres__raw_or_retted
kiwi
kola_nuts
leeks
lemons_and_limes
lentils
lettuce
linseed
locust_beans__carobs
lupins
maize
mangoes
mate_leaves
melon
melonseed
millet
mixed_grains
mustard_seed
natural_rubber_in_primary_forms
oats
oilcrops__cake_equivalent
oilcrops__oil_equivalent
okra
olives
onions_and_shallots__green
onions
orange
other_pome_fruits
other_stone_fruits
oilpalm
papayas
peaches_and_nectarines
pears
pea
peas__green
pepper
peppermint__spearmint
persimmons
pigeon_peas
pineapples
pistachios
plantains
plums
poppy_seeds
potato
pulses
pumpkins__squash_and_gourds
pyrethrum__dried_flowers
quinces
quinoa
ramie__raw_or_retted
rapeseed
raspberries
rice
roots_and_tubers
rye
safflower_seed
cotton
sesame_seed
sorghum
sour_cherries
soybean
spinach
strawberries
string_beans
sugarbeet
sugarcane
sugar_crops
sunflower
sweet_potatoes
tallowtree_seeds
tangerines
taro
tea
tobacco
tomato
treenuts
triticale
true_hemp__raw_or_retted
tung_nuts
vegetables
vetches
walnuts
watermelons
wheat
yams
yautia
